Episode,Reward,Wins,Losses,Epsilon
168,-11.677243521434146,32,56,0.09994334856146549
169,100.0,33,56,0.09994334856146549
170,-7.395286213269955,33,56,0.09994334856146549
171,-0.5336758979869236,33,56,0.09994334856146549
172,-100.0,33,57,0.09994334856146549
173,-100.0,33,58,0.09994334856146549
174,-15.064974432253036,33,58,0.09994334856146549
175,-8.23722190207108,33,58,0.09994334856146549
176,-7.754068705506201,33,58,0.09994334856146549
177,-18.36984083387587,33,58,0.09994334856146549
178,-7.822120975116184,33,58,0.09994334856146549
179,-100.0,33,59,0.09994334856146549
180,-100.0,33,60,0.09994334856146549
181,-8.148185060677056,33,60,0.09994334856146549
182,100.0,34,60,0.09994334856146549
183,-14.588446181936824,34,60,0.09994334856146549
184,-15.121725079575278,34,60,0.09994334856146549
185,-16.428839145265897,34,60,0.09994334856146549
186,-9.78317858077041,34,60,0.09994334856146549
187,-100.0,34,61,0.09994334856146549
188,-5.382488652583638,34,61,0.09994334856146549
189,-9.122607779978734,34,61,0.09994334856146549
190,-100.0,34,62,0.09994334856146549
191,100.0,35,62,0.09994334856146549
192,-8.819206239981273,35,62,0.09994334856146549
193,100.0,36,62,0.09994334856146549
194,-100.0,36,63,0.09994334856146549
195,-19.195143078641113,36,63,0.09994334856146549
196,-100.0,36,64,0.09994334856146549
197,100.0,37,64,0.09994334856146549
198,-100.0,37,65,0.09994334856146549
199,-6.20116874478704,37,65,0.09994334856146549
200,-6.3739785540750065,37,65,0.09994334856146549
201,-100.0,37,66,0.09994334856146549
202,-100.0,37,67,0.09994334856146549
203,-9.075416908172866,37,67,0.09994334856146549
204,-100.0,37,68,0.09994334856146549
205,-9.050093919422148,37,68,0.09994334856146549
206,-15.636484622435045,37,68,0.09994334856146549
207,-18.78798213686597,37,68,0.09994334856146549
208,-5.031073867761414,37,68,0.09994334856146549
209,-15.574515105422918,37,68,0.09994334856146549
210,-2.5895432235033384,37,68,0.09994334856146549
211,100.0,38,68,0.09994334856146549
212,-7.8955664740668405,38,68,0.09994334856146549
213,100.0,39,68,0.09994334856146549
214,-15.764732912985307,39,68,0.09994334856146549
215,-5.187166004629779,39,68,0.09994334856146549
216,-13.503038646490175,39,68,0.09994334856146549
217,-9.864034525638553,39,68,0.09994334856146549
218,-5.807957345851101,39,68,0.09994334856146549
219,-5.379334551509781,39,68,0.09994334856146549
220,-100.0,39,69,0.09994334856146549
221,-100.0,39,70,0.09994334856146549
222,-16.046728481317885,39,70,0.09994334856146549
223,-100.0,39,71,0.09994334856146549
224,-5.606096733940973,39,71,0.09994334856146549
225,-100.0,39,72,0.09994334856146549
226,-10.89609119284277,39,72,0.09994334856146549
227,-3.547969014866188,39,72,0.09994334856146549
228,-100.0,39,73,0.09994334856146549
229,100.0,40,73,0.09994334856146549
230,-8.44583678388695,40,73,0.09994334856146549
231,-6.612218989676826,40,73,0.09994334856146549
232,-6.302955285789058,40,73,0.09994334856146549
233,-7.319264997304527,40,73,0.09994334856146549
234,-8.190074496108238,40,73,0.09994334856146549
