Episode,Reward,Wins,Losses,Epsilon
99,-9.727035304525252,12,23,0.00998645168764533
100,-3.716861888466822,12,23,0.00998645168764533
101,-6.201295259388415,12,23,0.00998645168764533
102,-100.0,12,24,0.00998645168764533
103,-6.14457654491852,12,24,0.00998645168764533
104,100.0,13,24,0.00998645168764533
105,-0.5720267384126341,13,24,0.00998645168764533
106,-100.0,13,25,0.00998645168764533
107,-100.0,13,26,0.00998645168764533
108,-4.452912880769393,13,26,0.00998645168764533
109,-4.34933874630563,13,26,0.00998645168764533
110,-6.819335501594097,13,26,0.00998645168764533
111,-100.0,13,27,0.00998645168764533
112,-6.189061310422874,13,27,0.00998645168764533
113,-5.890757875127635,13,27,0.00998645168764533
114,-100.0,13,28,0.00998645168764533
115,-8.713516982112601,13,28,0.00998645168764533
116,-100.0,13,29,0.00998645168764533
117,-9.867878376043608,13,29,0.00998645168764533
118,-1.25,13,29,0.00998645168764533
119,-5.05543888075773,13,29,0.00998645168764533
120,-100.0,13,30,0.00998645168764533
121,-5.605995906264614,13,30,0.00998645168764533
122,-2.5929615715491443,13,30,0.00998645168764533
123,-4.192108978783278,13,30,0.00998645168764533
124,-4.492041236409453,13,30,0.00998645168764533
125,-6.7521247155853,13,30,0.00998645168764533
126,-8.765210181085223,13,30,0.00998645168764533
127,-3.1055947079542174,13,30,0.00998645168764533
128,-100.0,13,31,0.00998645168764533
129,-8.514215513476142,13,31,0.00998645168764533
130,100.0,14,31,0.00998645168764533
131,100.0,15,31,0.00998645168764533
132,-4.302855154059239,15,31,0.00998645168764533
133,-8.340296434454915,15,31,0.00998645168764533
134,100.0,16,31,0.00998645168764533
135,-4.361040472149248,16,31,0.00998645168764533
136,-7.730508006787396,16,31,0.00998645168764533
137,-5.720952415877582,16,31,0.00998645168764533
138,-6.139062762671353,16,31,0.00998645168764533
139,-4.677797353977108,16,31,0.00998645168764533
140,-4.208664827163842,16,31,0.00998645168764533
141,-100.0,16,32,0.00998645168764533
142,-2.7379464465505268,16,32,0.00998645168764533
143,-6.908430689837601,16,32,0.00998645168764533
144,-6.22202881081158,16,32,0.00998645168764533
145,-2.598958560401414,16,32,0.00998645168764533
146,-100.0,16,33,0.00998645168764533
147,1.6406383635073785,16,33,0.00998645168764533
148,-8.413389823585895,16,33,0.00998645168764533
149,-3.8957149585046054,16,33,0.00998645168764533
150,-9.900799170338743,16,33,0.00998645168764533
