Episode,Reward,Wins,Losses,Epsilon
45,-14.2186303321618,0,8,0.00998645168764533
46,-4.6950385196198745,0,8,0.00998645168764533
47,-14.18177192406063,0,8,0.00998645168764533
48,-11.20238491605974,0,8,0.00998645168764533
49,-100.0,0,9,0.00998645168764533
50,-100.0,0,10,0.00998645168764533
51,-11.011276140163053,0,10,0.00998645168764533
52,-13.008360433806128,0,10,0.00998645168764533
53,-12.42661467831723,0,10,0.00998645168764533
54,-100.0,0,11,0.00998645168764533
55,-100.0,0,12,0.00998645168764533
56,-7.9320172628192775,0,12,0.00998645168764533
57,-6.875,0,12,0.00998645168764533
58,-8.588993086753458,0,12,0.00998645168764533
59,-11.397596373384403,0,12,0.00998645168764533
60,-7.167187653130858,0,12,0.00998645168764533
61,-13.334080542380406,0,12,0.00998645168764533
62,100.0,1,12,0.00998645168764533
63,-12.885415150033806,1,12,0.00998645168764533
64,-6.13802461816537,1,12,0.00998645168764533
65,-5.263058218693193,1,12,0.00998645168764533
66,-6.120772758586736,1,12,0.00998645168764533
67,-4.723342488201671,1,12,0.00998645168764533
68,100.0,2,12,0.00998645168764533
69,-11.7889550048511,2,12,0.00998645168764533
70,-10.703297424947214,2,12,0.00998645168764533
71,-11.885586847859948,2,12,0.00998645168764533
72,-4.6182553225003495,2,12,0.00998645168764533
73,-100.0,2,13,0.00998645168764533
74,100.0,3,13,0.00998645168764533
75,-13.078987150834571,3,13,0.00998645168764533
76,-15.268736901354004,3,13,0.00998645168764533
77,-15.821454339922958,3,13,0.00998645168764533
78,-14.424218623411111,3,13,0.00998645168764533
79,-5.847361405057436,3,13,0.00998645168764533
80,-12.028733170014018,3,13,0.00998645168764533
81,-100.0,3,14,0.00998645168764533
82,-15.673583151546811,3,14,0.00998645168764533
83,-100.0,3,15,0.00998645168764533
84,-5.379999516275331,3,15,0.00998645168764533
85,-100.0,3,16,0.00998645168764533
86,-1.7380016872814967,3,16,0.00998645168764533
87,-8.63348938832546,3,16,0.00998645168764533
88,-15.369550103312797,3,16,0.00998645168764533
89,-7.966024701765741,3,16,0.00998645168764533
90,-7.40675047089352,3,16,0.00998645168764533
91,-10.949976878383588,3,16,0.00998645168764533
92,-2.904582878805868,3,16,0.00998645168764533
93,-12.384137709156926,3,16,0.00998645168764533
94,-16.802126400547138,3,16,0.00998645168764533
95,-14.298513650520002,3,16,0.00998645168764533
96,-10.445073164358154,3,16,0.00998645168764533
97,-6.034879749449613,3,16,0.00998645168764533
98,-15.853054881029385,3,16,0.00998645168764533
